,User,Tweet Number,Tweet Date,Compound,Positive,Neutral,Negative
79,@BBCWorld,80,Mon Jan 29 03:07:23 +0000 2018,0.6908,0.213,0.787,0
80,@BBCWorld,81,Mon Jan 29 03:03:31 +0000 2018,0,0,1,0
81,@BBCWorld,82,Mon Jan 29 03:01:21 +0000 2018,0,0,1,0
82,@BBCWorld,83,Mon Jan 29 02:57:54 +0000 2018,0.8658,0.393,0.607,0
83,@BBCWorld,84,Mon Jan 29 02:55:31 +0000 2018,0,0,1,0
84,@BBCWorld,85,Mon Jan 29 02:53:32 +0000 2018,0.8357,0.426,0.574,0
85,@BBCWorld,86,Mon Jan 29 02:45:26 +0000 2018,0,0,1,0
86,@BBCWorld,87,Mon Jan 29 02:43:29 +0000 2018,-0.3182,0,0.916,0.084
87,@BBCWorld,88,Mon Jan 29 02:38:04 +0000 2018,0.4588,0.136,0.864,0
88,@BBCWorld,89,Mon Jan 29 02:35:58 +0000 2018,-0.2716,0.086,0.785,0.129
89,@BBCWorld,90,Mon Jan 29 02:26:45 +0000 2018,0.0258,0.14,0.681,0.179
90,@BBCWorld,91,Mon Jan 29 02:24:36 +0000 2018,0,0,1,0
91,@BBCWorld,92,Mon Jan 29 02:19:43 +0000 2018,0,0,1,0
92,@BBCWorld,93,Mon Jan 29 02:18:37 +0000 2018,0,0,1,0
93,@BBCWorld,94,Mon Jan 29 02:17:30 +0000 2018,0,0,1,0
94,@BBCWorld,95,Mon Jan 29 02:14:08 +0000 2018,0,0,1,0
95,@BBCWorld,96,Mon Jan 29 02:06:01 +0000 2018,0,0,1,0
96,@BBCWorld,97,Mon Jan 29 01:54:53 +0000 2018,0,0,1,0
97,@BBCWorld,98,Mon Jan 29 01:42:57 +0000 2018,0.2732,0.231,0.769,0
98,@BBCWorld,99,Mon Jan 29 01:42:26 +0000 2018,0.8271,0.391,0.609,0
99,@BBCWorld,100,Mon Jan 29 01:42:23 +0000 2018,0.6766,0.272,0.612,0.117
100,@CBSNews,1,Mon Jan 29 22:30:01 +0000 2018,0.3182,0.095,0.905,0
101,@CBSNews,2,Mon Jan 29 22:29:31 +0000 2018,0,0,1,0
102,@CBSNews,3,Mon Jan 29 22:15:01 +0000 2018,-0.4767,0,0.86,0.14
103,@CBSNews,4,Mon Jan 29 22:00:02 +0000 2018,0.2263,0.214,0.605,0.181
104,@CBSNews,5,Mon Jan 29 21:45:01 +0000 2018,0,0,1,0
105,@CBSNews,6,Mon Jan 29 21:30:02 +0000 2018,0,0,1,0
106,@CBSNews,7,Mon Jan 29 21:15:01 +0000 2018,0.0258,0.055,0.945,0
107,@CBSNews,8,Mon Jan 29 20:50:46 +0000 2018,0,0,1,0
108,@CBSNews,9,Mon Jan 29 20:28:27 +0000 2018,-0.25,0,0.909,0.091
109,@CBSNews,10,Mon Jan 29 20:00:34 +0000 2018,0,0,1,0
110,@CBSNews,11,Mon Jan 29 19:40:31 +0000 2018,0,0,1,0
111,@CBSNews,12,Mon Jan 29 19:31:22 +0000 2018,0,0,1,0
112,@CBSNews,13,Mon Jan 29 18:59:53 +0000 2018,0,0,1,0
113,@CBSNews,14,Mon Jan 29 18:58:47 +0000 2018,0,0,1,0
114,@CBSNews,15,Mon Jan 29 18:53:13 +0000 2018,0,0,1,0
115,@CBSNews,16,Mon Jan 29 18:53:01 +0000 2018,0,0,1,0
116,@CBSNews,17,Mon Jan 29 18:38:30 +0000 2018,0.4019,0.13,0.87,0
117,@CBSNews,18,Mon Jan 29 18:26:38 +0000 2018,-0.5267,0,0.812,0.188
118,@CBSNews,19,Mon Jan 29 18:15:24 +0000 2018,0.2263,0.095,0.905,0
119,@CBSNews,20,Mon Jan 29 18:00:38 +0000 2018,0.3818,0.219,0.657,0.124
120,@CBSNews,21,Mon Jan 29 22:30:01 +0000 2018,0.3182,0.095,0.905,0
121,@CBSNews,22,Mon Jan 29 22:29:31 +0000 2018,0,0,1,0
122,@CBSNews,23,Mon Jan 29 22:15:01 +0000 2018,-0.4767,0,0.86,0.14
123,@CBSNews,24,Mon Jan 29 22:00:02 +0000 2018,0.2263,0.214,0.605,0.181
124,@CBSNews,25,Mon Jan 29 21:45:01 +0000 2018,0,0,1,0
125,@CBSNews,26,Mon Jan 29 21:30:02 +0000 2018,0,0,1,0
126,@CBSNews,27,Mon Jan 29 21:15:01 +0000 2018,0.0258,0.055,0.945,0
127,@CBSNews,28,Mon Jan 29 20:50:46 +0000 2018,0,0,1,0
128,@CBSNews,29,Mon Jan 29 20:28:27 +0000 2018,-0.25,0,0.909,0.091
129,@CBSNews,30,Mon Jan 29 20:00:34 +0000 2018,0,0,1,0
130,@CBSNews,31,Mon Jan 29 19:40:31 +0000 2018,0,0,1,0
131,@CBSNews,32,Mon Jan 29 19:31:22 +0000 2018,0,0,1,0
132,@CBSNews,33,Mon Jan 29 18:59:53 +0000 2018,0,0,1,0
133,@CBSNews,34,Mon Jan 29 18:58:47 +0000 2018,0,0,1,0
134,@CBSNews,35,Mon Jan 29 18:53:13 +0000 2018,0,0,1,0
135,@CBSNews,36,Mon Jan 29 18:53:01 +0000 2018,0,0,1,0
136,@CBSNews,37,Mon Jan 29 18:38:30 +0000 2018,0.4019,0.13,0.87,0
137,@CBSNews,38,Mon Jan 29 18:26:38 +0000 2018,-0.5267,0,0.812,0.188
138,@CBSNews,39,Mon Jan 29 18:15:24 +0000 2018,0.2263,0.095,0.905,0
139,@CBSNews,40,Mon Jan 29 18:00:38 +0000 2018,0.3818,0.219,0.657,0.124
140,@CBSNews,41,Mon Jan 29 17:55:33 +0000 2018,0,0,1,0
141,@CBSNews,42,Mon Jan 29 17:53:41 +0000 2018,0,0,1,0
142,@CBSNews,43,Mon Jan 29 17:53:21 +0000 2018,0,0,1,0
143,@CBSNews,44,Mon Jan 29 17:45:55 +0000 2018,0,0,1,0
144,@CBSNews,45,Mon Jan 29 17:42:15 +0000 2018,-0.9022,0,0.59,0.41
145,@CBSNews,46,Mon Jan 29 17:40:09 +0000 2018,0.6369,0.286,0.714,0
146,@CBSNews,47,Mon Jan 29 17:30:02 +0000 2018,-0.25,0.126,0.654,0.22
147,@CBSNews,48,Mon Jan 29 17:15:02 +0000 2018,-0.296,0,0.891,0.109
148,@CBSNews,49,Mon Jan 29 17:00:02 +0000 2018,0,0,1,0
149,@CBSNews,50,Mon Jan 29 16:49:51 +0000 2018,-0.1531,0,0.914,0.086
150,@CBSNews,51,Mon Jan 29 16:48:11 +0000 2018,0.4404,0.121,0.879,0
151,@CBSNews,52,Mon Jan 29 16:45:49 +0000 2018,0.3612,0.115,0.83,0.055
152,@CBSNews,53,Mon Jan 29 16:45:01 +0000 2018,0,0,1,0
153,@CBSNews,54,Mon Jan 29 16:43:02 +0000 2018,0,0,1,0
154,@CBSNews,55,Mon Jan 29 16:41:33 +0000 2018,0,0,1,0
155,@CBSNews,56,Mon Jan 29 16:37:34 +0000 2018,0,0,1,0
156,@CBSNews,57,Mon Jan 29 16:30:01 +0000 2018,0.0258,0.05,0.95,0
157,@CBSNews,58,Mon Jan 29 16:15:37 +0000 2018,-0.34,0.053,0.833,0.114
158,@CBSNews,59,Mon Jan 29 16:00:50 +0000 2018,0,0,1,0
159,@CBSNews,60,Mon Jan 29 15:45:01 +0000 2018,0.2263,0.209,0.667,0.124
160,@CBSNews,61,Mon Jan 29 15:31:45 +0000 2018,0,0,1,0
161,@CBSNews,62,Mon Jan 29 15:15:50 +0000 2018,0.7236,0.271,0.672,0.057
162,@CBSNews,63,Mon Jan 29 15:00:03 +0000 2018,0,0,1,0
163,@CBSNews,64,Mon Jan 29 14:45:01 +0000 2018,-0.765,0,0.72,0.28
164,@CBSNews,65,Mon Jan 29 14:30:01 +0000 2018,0.3818,0.12,0.88,0
165,@CBSNews,66,Mon Jan 29 14:15:01 +0000 2018,-0.25,0.224,0.515,0.261
166,@CBSNews,67,Mon Jan 29 14:02:01 +0000 2018,-0.743,0,0.73,0.27
167,@CBSNews,68,Mon Jan 29 13:49:48 +0000 2018,0,0,1,0
